packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
64,0,0.0,0.0,0,0,2.906646966934204,0.04613725344340006,0.09948223647381328,1.0,0.0,8,8,0.0,22.018497852700776,0.873015873015873,1,reels_01,0
8,0,0.0,0.0,0,0,2.4966259002685547,0.3566608428955078,0.39345279102923997,1.0,0.0,6,6,0.0,3.20432468442287,0.42857142857142855,1,reels_01,1
25,0,0.0,0.0,0,0,2.1544129848480225,0.08976720770200093,0.15217633877829181,1.0,0.0,8,8,0.0,11.604088991212407,0.75,1,reels_01,2
73,0,0.0,0.0,0,0,2.6049599647521973,0.03617999951044718,0.08219080990055577,1.0,0.0,12,12,0.0,28.023463311438757,0.9027777777777778,1,reels_01,3
83,0,0.0,0.0,0,0,2.9126200675964355,0.03551975692190775,0.07300693328290939,1.0,0.0,6,6,0.0,28.496679303762953,0.8658536585365854,1,reels_01,4
34,0,0.0,0.0,0,0,2.056936025619507,0.06233139471574263,0.16245803905129028,1.0,0.0,5,5,0.0,16.52943969891329,0.8484848484848485,1,reels_01,5
393,0,0.0,0.0,0,0,2.936901807785034,0.00749209644843121,0.041623079590742754,1.0,0.0,9,9,0.0,133.8144840110928,0.9872448979591837,1,reels_01,6
28,0,0.0,0.0,0,0,2.8929688930511475,0.1071469960389314,0.2691003571412356,1.0,0.0,4,4,0.0,9.678638462810794,0.8148148148148148,1,reels_01,7
33,0,0.0,0.0,0,0,2.857358932495117,0.08929246664047241,0.21884712478599697,1.0,0.0,6,6,0.0,11.549126581441966,0.84375,1,reels_01,8
42,0,0.0,0.0,0,0,2.7027230262756348,0.06592007381160085,0.17912648266673883,1.0,0.0,4,4,0.0,15.539883144399077,0.8536585365853658,1,reels_01,9
1143,0,0.0,0.0,0,0,2.923877000808716,0.0025603126101652503,0.015880546813805293,1.0,0.0,5,4,0.0,390.91931694933044,0.9938704028021016,1,reels_01,10
143,0,0.0,0.0,0,0,2.9830539226531982,0.02100742199051548,0.038453746026712164,1.0,0.0,12,12,0.0,47.937450581789165,0.9507042253521126,1,reels_01,11
162,0,0.0,0.0,0,0,2.971045970916748,0.01845370168271272,0.031978195847633416,1.0,0.0,8,7,0.0,54.52625155780177,0.9192546583850931,1,reels_01,12
162,0,0.0,0.0,0,0,2.974487066268921,0.018475074945769696,0.03277489237923227,1.0,0.0,10,10,0.0,54.46317176399977,0.9192546583850931,1,reels_01,13
57,0,0.0,0.0,0,0,2.7184159755706787,0.048543142420904975,0.12099050018988389,1.0,0.0,10,10,0.0,20.968093372109454,0.875,1,reels_01,14
55,0,0.0,0.0,0,0,2.095107078552246,0.038798279232449,0.08057111559771228,1.0,0.0,8,8,0.0,26.251641533284264,0.8518518518518519,1,reels_01,15
94,0,0.0,0.0,0,0,2.96492600440979,0.03188092477859989,0.07066255711030142,1.0,0.0,11,11,0.0,31.703995263352958,0.9247311827956989,1,reels_01,16
58,0,0.0,0.0,0,0,2.898236036300659,0.05084624625088876,0.25023329686631407,1.0,0.0,3,3,0.0,20.01217267108163,0.9298245614035088,1,reels_01,17
1409,0,0.0,0.0,0,0,2.6415910720825195,0.0018761300227858803,0.0155066338500491,1.0,0.0,4,4,0.0,533.3906579602435,0.9971590909090909,1,reels_01,18
90,0,0.0,0.0,0,0,2.9238779544830322,0.03285256128632621,0.09751737281374687,1.0,0.0,5,5,0.0,30.78103853890605,0.9101123595505618,1,reels_01,19
77,0,0.0,0.0,0,0,2.999922037124634,0.03947265838321887,0.10209715531042235,1.0,0.0,6,6,0.0,25.66733369971274,0.868421052631579,1,reels_01,20
93,0,0.0,0.0,0,0,2.8733880519866943,0.03123247882594233,0.057806621654688195,1.0,0.0,5,5,0.0,32.36597296202255,0.8913043478260869,1,reels_01,21
111,0,0.0,0.0,0,0,2.850316047668457,0.025911964069713245,0.10769884146619242,1.0,0.0,7,7,0.0,38.9430498736438,0.9363636363636364,1,reels_01,22
1155,0,0.0,0.0,0,0,2.9076271057128906,0.0025196075439453125,0.018692615141348557,1.0,0.0,9,9,0.0,397.2311297176526,0.9974003466204506,1,reels_01,23
97,0,0.0,0.0,0,0,2.935328960418701,0.030576343337694805,0.05376857511434498,1.0,0.0,3,3,0.0,33.04569992256123,0.8854166666666666,1,reels_01,24
228,0,0.0,0.0,0,0,2.916512966156006,0.012848074740775357,0.035608160238689145,1.0,0.0,5,5,0.0,78.17554821314796,0.9647577092511013,1,reels_01,25
238,0,0.0,0.0,0,0,2.9987831115722656,0.012653093297773272,0.07249186365985143,1.0,0.0,8,8,0.0,79.36552633018408,0.9746835443037974,1,reels_01,26
1153,0,0.0,0.0,0,0,2.931995153427124,0.0025451346817943784,0.030301666594809706,1.0,0.0,8,7,0.0,393.24758045806857,0.9965277777777778,1,reels_01,27
110,0,0.0,0.0,0,0,2.9986989498138428,0.027510999539576537,0.05139334942655652,1.0,0.0,9,9,0.0,36.68257529047013,0.908256880733945,1,reels_01,28
95,0,0.0,0.0,0,0,2.900421142578125,0.03085554406998005,0.0749049113992874,1.0,0.0,5,5,0.0,32.75386412180006,0.9042553191489362,1,reels_01,29
62,0,0.0,0.0,0,0,1.8885040283203125,0.030959082431480534,0.06869499973880241,1.0,0.0,4,4,0.0,32.83021855936654,0.9016393442622951,1,reels_01,30
1673,0,0.0,0.0,0,0,2.9578959941864014,0.0017690765515468907,0.01690471516281829,1.0,0.0,5,5,0.0,565.6047417786829,0.9976076555023924,1,reels_01,31
68,0,0.0,0.0,0,0,2.9521310329437256,0.04406165720811531,0.12318197801320734,1.0,0.0,4,4,0.0,23.03420791325567,0.8955223880597015,1,reels_01,32
99,0,0.0,0.0,0,0,2.891433000564575,0.02950441837310791,0.051992907904953214,1.0,0.0,4,4,0.0,34.23907798682158,0.8877551020408163,1,reels_01,33
157,0,0.0,0.0,0,0,2.9737119674682617,0.019062256201719627,0.04998967290541156,1.0,0.0,9,8,0.0,52.79596736924914,0.9358974358974359,1,reels_01,34
131,0,0.0,0.0,0,0,2.9586801528930664,0.022759078099177432,0.05539604918294266,1.0,0.0,6,6,0.0,44.27649939514589,0.9384615384615385,1,reels_01,35
1759,0,0.0,0.0,0,0,2.996735095977783,0.00170462747211478,0.013814908604992815,1.0,0.0,7,7,0.0,586.9721358958051,0.9965870307167235,1,reels_01,36
105,0,0.0,0.0,0,0,2.941840171813965,0.02828692472898043,0.051614904890439336,1.0,0.0,4,4,0.0,35.6919458120174,0.8942307692307693,1,reels_01,37
